"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.492273090E-1,2.268750034E-2,-3.643750027E-2,2.213750035E-2
8.517353230E-1,3.121249937E-2,-5.238749832E-2,1.608750038E-2
8.542421710E-1,3.726249933E-2,-2.914999984E-2,8.662499487E-3
8.567485550E-1,3.478749841E-2,9.899999946E-3,-1.099999994E-3
8.592556200E-1,2.626249939E-2,3.066249937E-2,-8.387500420E-3
8.617633900E-1,9.212499484E-3,2.708750032E-2,-2.062499896E-2
8.642704680E-1,-1.031249948E-2,8.662499487E-3,-3.162499890E-2
8.667766220E-1,-2.749999985E-2,-1.209999993E-2,-3.409999982E-2
8.692836970E-1,-3.726249933E-2,-1.333750039E-2,-2.791249938E-2
8.717916200E-1,-3.959999979E-2,5.087499972E-3,-8.387500420E-3
8.742986990E-1,-3.478749841E-2,2.818750031E-2,1.361249946E-2
8.768049300E-1,-2.378750034E-2,2.708750032E-2,2.942499891E-2
8.793119280E-1,-6.737499963E-3,8.662499487E-3,3.313750029E-2
8.818199280E-1,1.044999994E-2,-2.186249942E-2,2.708750032E-2
8.843267760E-1,2.392499894E-2,-4.262499884E-2,2.089999989E-2
8.868331610E-1,3.602499887E-2,-3.643750027E-2,1.237499993E-2
8.893402360E-1,4.221250117E-2,-9.624999948E-3,2.612499986E-3
8.918480050E-1,3.478749841E-2,1.842499897E-2,-3.437499981E-3
8.943550070E-1,1.773750037E-2,2.708750032E-2,-1.319999993E-2
8.968612380E-1,1.924999990E-3,1.608750038E-2,-2.419999987E-2
8.993683130E-1,-1.526249945E-2,-1.099999994E-3,-3.038750030E-2
9.018762360E-1,-2.502499893E-2,-1.086249948E-2,-2.791249938E-2
9.043833150E-1,-2.983750030E-2,1.374999993E-4,-1.814999990E-2
9.068895360E-1,-3.231250122E-2,1.842499897E-2,1.374999993E-4
9.093966110E-1,-2.983750030E-2,2.461249940E-2,1.732499897E-2
9.119045340E-1,-2.131249942E-2,1.361249946E-2,2.584999986E-2
9.144116130E-1,-1.787499990E-3,-9.624999948E-3,2.818750031E-2
9.169177670E-1,1.416249946E-2,-3.162499890E-2,2.089999989E-2
9.194248420E-1,2.763750032E-2,-3.286249936E-2,1.608750038E-2
9.219326110E-1,3.739999980E-2,-1.457499992E-2,7.424999960E-3
